d07ctrl031	93.9695	91.7245
d07ctrl032	89.7165	87.5790
d07ctrl033	96.8611	94.4345
d07ctrl034	90.3142	88.0036
d07ctrl035	97.5023	94.3723
d07ctrl036	97.4631	95.2110
d07ctrl037	97.5389	94.6915
d07ctrl038	95.6811	92.9590
d07ctrl039	97.3859	95.3901
d07ctrl040	96.3722	93.7565
d07sub041	95.7044	93.5455
d07sub042	92.3279	89.2181
d07sub043	89.9830	85.7054
d07sub044	98.0676	94.0165
d07sub045	98.3738	95.8644
d07sub046	97.0403	94.5189
d07sub047	98.3027	95.3911
d07sub048	97.8016	94.8064
d07sub049	87.2361	82.1400
d07sub050	97.8909	94.5028
d07ther051	98.3883	96.3090
d07ther052	98.2205	96.1026
d07ther053	98.3314	95.6701
d07ther054	97.5275	94.7452
d07ther055	97.7401	95.0134
d07ther056	97.1643	95.5149
d07ther057	98.2977	95.9506
d07ther058	91.7461	88.3595
d07ther059	97.3775	93.0552
d07ther060	97.7292	93.5263
d35ctrl091	97.6167	94.7423
d35ctrl092	96.9937	94.3656
d35ctrl093	97.1318	93.7266
d35ctrl094	97.1208	93.8650
d35ctrl095	96.0273	92.6561
d35ctrl096	96.5320	93.2204
d35ctrl097	96.7580	94.8289
d35ctrl098	97.3693	94.9513
d35ctrl099	96.8513	94.4094
d35ctrl100	97.5120	95.5038
d35sub101	98.2966	96.5860
d35sub102	94.8583	92.9869
d35sub103	97.7898	95.4331
d35sub104	95.0395	91.9276
d35sub105	97.9637	94.9398
d35sub106	96.6379	93.2228
d35sub107	97.7407	96.4814
d35sub108	97.9619	95.8150
d35sub109	97.4398	95.7286
d35sub110	89.3509	86.4040
d35ther111	96.0894	93.1596
d35ther112	98.2867	95.3850
d35ther113	98.3531	95.6996
d35ther114	97.4537	96.2600
d35ther115	96.9725	95.0274
d35ther116	97.7183	94.7435
d35ther117	97.5891	94.9674
d35ther118	98.2683	96.2827
d35ther119	96.4328	94.2818
d35ther120	96.6044	94.2795
d78ctrl181	93.9657	91.0670
d78ctrl182	92.1441	89.5266
d78ctrl183	91.2639	89.0544
d78ctrl184	90.7037	88.2822
d78ctrl185	92.2475	90.0375
d78ctrl186	93.1596	90.4168
d78ctrl187	92.4566	90.2125
d78ctrl188	93.3822	91.3772
d78ctrl189	92.1073	89.6341
d78ex1sub	92.2933	90.2008
d78ex2sub	95.0780	92.8889
d78ex3sub	96.1353	94.5916
d78sub191	95.1442	92.7387
d78sub192	96.1920	94.3512
d78sub193	94.4604	92.5745
d78sub194	93.1747	90.8779
d78sub195	91.3446	88.8264
d78sub196	94.4931	92.1493
d78sub197	93.1308	90.2117
d78sub198	93.9309	91.2145
d78sub199	90.7177	87.6311
d78sub200	90.8790	88.8131
d78ther201	96.0699	94.0755
d78ther202	95.5664	93.5547
d78ther203	95.1492	92.9094
d78ther204	96.4882	94.6542
d78ther205	94.1364	91.9006
d78ther206	95.2450	93.6806
d78ther207	97.3421	95.7007
d78ther208	93.1968	91.2310
d78ther209	94.6654	92.5410
d78ther210	94.7163	91.9861
		
